Marks Of ES 111 Students ,,,
80,,,
91,,,
72,,,
94,,,
90,,,
96,,,
96,,,
79,,,
95,,,
76,,,
95,,,
98,,,
71,,,
91,,,
78,,,
72,,,
72,,,
70,,,
95,,,
84,,,
77,,,
90,,,
88,,,
74,,,
91,,,
77,,,
73,,,
84,,,
78,,,
93,,,
73,,,
89,,,
87,,,
69,,,
78,,,
70,,,
83,,,
94,,,
97,,,
